   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
 410,         42475,           42071,            112,     12677,         846,         50,    16131,       7217,        65,         84255,             402,            230
 411,         42871,           42466,            107,     13542,         858,         50,    16020,       7185,        61,         84666,             401,            225
 412,         43063,           42657,            105,     12391,         890,         54,    16096,       7193,        63,         85078,             400,            225
 413,         43172,           42765,             91,     13072,         844,         54,    16110,       7183,        68,         85491,             404,            259
 414,         43199,           42791,             96,     13362,         852,         55,    16214,       7255,        60,         85905,             408,            239
 415,         43481,           43072,            108,     12488,         857,         51,    16235,       7268,        67,         86320,             411,            266
 416,         43544,           43134,            112,     12965,         880,         55,    16296,       7274,        70,         86736,             413,            264
 417,         43648,           43237,             89,     12891,         870,         52,    16428,       7369,        60,         87153,             410,            228
 418,         43872,           43460,            110,     12014,         893,         55,    16384,       7335,        63,         87571,             411,            272
 419,         43979,           43566,            123,     12574,         886,         56,    16446,       7362,        62,         87990,             412,            236
 420,         44099,           43685,             96,     12774,         867,         51,    16505,       7396,        65,         88410,             411,            235
 421,         44243,           43828,            102,     13119,         880,         51,    16618,       7471,        63,         88831,             412,            236
 422,         44443,           44027,            113,     12313,         928,         58,    16633,       7446,        75,         89253,             418,            250
 423,         44572,           44155,            103,     12647,         903,         56,    16681,       7477,        68,         89676,             416,            253
 424,         44961,           44543,            120,     13197,         879,         57,    16730,       7515,        71,         90100,             414,            274
 425,         45218,           44799,            121,     13110,         876,         59,    16758,       7500,        71,         90525,             418,            251
 426,         45420,           45000,            100,     12652,         914,         55,    16891,       7580,        64,         90951,             419,            241
 427,         45482,           45061,            116,     13196,         911,         56,    16854,       7574,        62,         91378,             420,            285
 428,         45531,           45109,            120,     13612,         920,         60,    16931,       7601,        65,         91806,             422,            246
 429,         45699,           45276,            110,     13222,         924,         57,    16960,       7606,        66,         92235,             423,            240
 430,         45713,           45289,            111,     13872,         900,         55,    17017,       7636,        67,         92665,             424,            250
 431,         45755,           45330,            121,     14024,         905,         59,    17058,       7633,        73,         93096,             425,            247
 432,         45808,           45382,            119,     13301,         913,         51,    17098,       7672,        65,         93528,             425,            266
 433,         46132,           45705,            126,     13093,         905,         57,    17149,       7701,        69,         93961,             425,            294
 434,         46327,           45899,            130,     13165,         935,         61,    17199,       7717,        73,         94395,             427,            298
 435,         46383,           45954,             94,     13647,         916,         53,    17212,       7714,        63,         94830,             426,            247
 436,         46533,           46103,            112,     13269,         913,         58,    17318,       7780,        70,         95266,             427,            269
 437,         46714,           46283,            118,     13694,         907,         57,    17332,       7772,        70,         95703,             428,            257
 438,         46827,           46395,            112,     13733,         923,         56,    17389,       7806,        71,         96141,             432,            250
 439,         46950,           46517,            103,     13575,         901,         58,    17410,       7824,        69,         96580,             432,            265
 440,         46984,           46550,            124,     14232,         908,         60,    17483,       7851,        79,         97020,             431,            296
 441,         47226,           46791,            124,     13433,         942,         61,    17493,       7832,        95,         97461,             434,            278
 442,         47280,           46844,            122,     13398,         944,         61,    17623,       7912,        71,         97903,             435,            288
 443,         47294,           46857,            120,     14119,         931,         57,    17660,       7925,        72,         98346,             436,            301
 444,         47481,           47043,            123,     13465,         939,         57,    17639,       7919,        73,         98790,             438,            302
 445,         47907,           47468,            120,     13876,         942,         57,    17705,       7948,        68,         99235,             438,            285
 446,         48298,           47858,            114,     13505,         938,         57,    17847,       8025,        72,         99681,             437,            294
